VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	Throttle	Steering	Brake	Gear	Handbrake	RPM	Speed	ImageFile
Car1	1698757252377	74.8887	0.0194752	-0.72346	0.999187	0.00360443	-0.000255231	0.0401575	0	0	0	0	0	1057.88	7.64524	img_Car1__0_1698757252377341400.png
Car1	1698757252486	75.7424	0.076042	-0.723488	0.999403	0.00271207	-0.000179987	0.0344413	1	0	0	1	0	1042.95	7.57148	img_Car1__0_1698757252486232100.png
Car1	1698757252596	76.5335	0.130421	-0.723378	0.999416	0.00175673	-0.00060651	0.0341123	1	0	0	1	0	1392.94	7.17199	img_Car1__0_1698757252595694500.png
Car1	1698757252705	77.3515	0.186224	-0.723187	0.999418	0.00100096	-0.0013105	0.0340755	1	0	0	1	0	1979.79	6.881	img_Car1__0_1698757252704870800.png
Car1	1698757252813	78.0717	0.235265	-0.723166	0.999418	0.000558886	-0.00139434	0.0340659	1	-1	0	1	0	2522.17	6.74303	img_Car1__0_1698757252812707400.png
Car1	1698757252923	78.8295	0.272655	-0.723256	0.99959	0.00105708	-0.00106824	0.0285974	0	-1	0	1	0	2805.45	6.70882	img_Car1__0_1698757252923255000.png
Car1	1698757253039	79.5775	0.272664	-0.723372	0.999921	0.00256042	-0.000669905	0.0122623	0	0	0	1	0	2399.32	6.69191	img_Car1__0_1698757253038691300.png
Car1	1698757253153	80.3222	0.281612	-0.723406	0.999965	0.0017292	-0.000546416	0.00820331	0	-1	0	1	0	1976.58	6.54935	img_Car1__0_1698757253152615200.png
Car1	1698757253267	81.0988	0.278851	-0.723352	0.999996	0.00171678	-0.000759968	0.00221834	0	-1	0	1	0	1682.99	6.31741	img_Car1__0_1698757253266604100.png
Car1	1698757253382	81.8227	0.234519	-0.723263	0.999866	0.00315674	-0.00115357	-0.0160335	0	-1	0	1	0	1465.63	6.00926	img_Car1__0_1698757253381882800.png
Car1	1698757253502	82.5119	0.134757	-0.723163	0.998918	0.00520477	-0.00173415	-0.046183	0	0	0	1	0	1309.03	5.68582	img_Car1__0_1698757253501660500.png
Car1	1698757253638	83.5835	-0.0686852	-0.723094	0.996929	0.003628	-0.0019694	-0.0781973	0	0	0	1	0	1177.25	5.35998	img_Car1__0_1698757253626827600.png
Car1	1698757253751	83.862	-0.113682	-0.723077	0.996891	0.00253686	-0.00194616	-0.0787244	0	0	0	1	0	1093.86	5.04471	img_Car1__0_1698757253750941100.png
Car1	1698757253874	84.4598	-0.209261	-0.722566	0.99689	0.000946888	-0.00190931	-0.0787751	1	0	0	1	0	1195.04	4.72681	img_Car1__0_1698757253874286000.png
Car1	1698757254000	85.0635	-0.305534	-0.722471	0.99689	0.000211103	-0.00178678	-0.078784	1	-1	0	1	0	1611.13	4.5285	img_Car1__0_1698757254000083900.png
Car1	1698757254126	85.6235	-0.408811	-0.72243	0.996449	0.000630888	-0.00142652	-0.0841856	1	-1	0	1	0	2141.34	4.51578	img_Car1__0_1698757254126060500.png
Car1	1698757254253	86.1559	-0.544485	-0.722912	0.994862	0.00210859	-0.000959231	-0.101213	1	-1	0	1	0	2599.06	4.62801	img_Car1__0_1698757254252553900.png
Car1	1698757254381	86.7371	-0.742126	-0.723214	0.99156	0.00359997	-0.000501951	-0.129596	0	0	0	1	0	2500.62	4.85907	img_Car1__0_1698757254381114900.png
Car1	1698757254513	87.3399	-0.924946	-0.723375	0.990497	0.00194649	0.000183294	-0.137524	0	-1	0	1	0	1917.32	4.93133	img_Car1__0_1698757254512219600.png
